ref_date,geo,reg_status,prog_level,program_class,sex,value
2005/2006,Canada,Full-time student,Graduate level,"Health, parks, recreation and fitness",Both sexes,18546
2005/2006,Canada,Full-time student,Graduate level,"Health, parks, recreation and fitness",Males,7749
2005/2006,Canada,Full-time student,Graduate level,"Health, parks, recreation and fitness",Females,10761
2005/2006,Canada,Full-time student,Graduate level,"Personal, protective and transportation services",Both sexes,114
2005/2006,Canada,Full-time student,Graduate level,"Personal, protective and transportation services",Males,84
2005/2006,Canada,Full-time student,Graduate level,"Personal, protective and transportation services",Females,30
2005/2006,Canada,Full-time student,Graduate level,Other instructional programs,Both sexes,513
2005/2006,Canada,Full-time student,Graduate level,Other instructional programs,Males,204
2005/2006,Canada,Full-time student,Graduate level,Other instructional programs,Females,309
2005/2006,Canada,Full-time student,Master's degree,"Total, instructional programs",Both sexes,64407
2005/2006,Canada,Full-time student,Master's degree,"Total, instructional programs",Males,30675
2005/2006,Canada,Full-time student,Master's degree,"Total, instructional programs",Females,33714
2005/2006,Canada,Full-time student,Master's degree,Education,Both sexes,3981
2005/2006,Canada,Full-time student,Master's degree,Education,Males,951
2005/2006,Canada,Full-time student,Master's degree,Education,Females,3027
2005/2006,Canada,Full-time student,Master's degree,Visual and performing arts and communications technologies,Both sexes,1986
2005/2006,Canada,Full-time student,Master's degree,Visual and performing arts and communications technologies,Males,777
2005/2006,Canada,Full-time student,Master's degree,Visual and performing arts and communications technologies,Females,1212
2005/2006,Canada,Full-time student,Master's degree,Humanities,Both sexes,5331
2005/2006,Canada,Full-time student,Master's degree,Humanities,Males,2307
2005/2006,Canada,Full-time student,Master's degree,Humanities,Females,3021
2005/2006,Canada,Full-time student,Master's degree,Social and behavioural sciences and law,Both sexes,9381
2005/2006,Canada,Full-time student,Master's degree,Social and behavioural sciences and law,Males,3468
2005/2006,Canada,Full-time student,Master's degree,Social and behavioural sciences and law,Females,5910
2005/2006,Canada,Full-time student,Master's degree,"Business, management and public administration",Both sexes,12405
2005/2006,Canada,Full-time student,Master's degree,"Business, management and public administration",Males,6909
2005/2006,Canada,Full-time student,Master's degree,"Business, management and public administration",Females,5496
2005/2006,Canada,Full-time student,Master's degree,Physical and life sciences and technologies,Both sexes,7911
2005/2006,Canada,Full-time student,Master's degree,Physical and life sciences and technologies,Males,3723
2005/2006,Canada,Full-time student,Master's degree,Physical and life sciences and technologies,Females,4182
2005/2006,Canada,Full-time student,Master's degree,"Mathematics, computer and information sciences",Both sexes,4086
2005/2006,Canada,Full-time student,Master's degree,"Mathematics, computer and information sciences",Males,2583
2005/2006,Canada,Full-time student,Master's degree,"Mathematics, computer and information sciences",Females,1506
2005/2006,Canada,Full-time student,Master's degree,"Architecture, engineering and related technologies",Both sexes,9951
2005/2006,Canada,Full-time student,Master's degree,"Architecture, engineering and related technologies",Males,7098
2005/2006,Canada,Full-time student,Master's degree,"Architecture, engineering and related technologies",Females,2853
2005/2006,Canada,Full-time student,Master's degree,"Agriculture, natural resources and conservation",Both sexes,2523
2005/2006,Canada,Full-time student,Master's degree,"Agriculture, natural resources and conservation",Males,1050
2005/2006,Canada,Full-time student,Master's degree,"Agriculture, natural resources and conservation",Females,1476
2005/2006,Canada,Full-time student,Master's degree,"Health, parks, recreation and fitness",Both sexes,6612
2005/2006,Canada,Full-time student,Master's degree,"Health, parks, recreation and fitness",Males,1683
2005/2006,Canada,Full-time student,Master's degree,"Health, parks, recreation and fitness",Females,4926
2005/2006,Canada,Full-time student,Master's degree,"Personal, protective and transportation services",Both sexes,75
2005/2006,Canada,Full-time student,Master's degree,"Personal, protective and transportation services",Males,54
2005/2006,Canada,Full-time student,Master's degree,"Personal, protective and transportation services",Females,24
2005/2006,Canada,Full-time student,Master's degree,Other instructional programs,Both sexes,153
2005/2006,Canada,Full-time student,Master's degree,Other instructional programs,Males,69
2005/2006,Canada,Full-time student,Master's degree,Other instructional programs,Females,84
2005/2006,Canada,Full-time student,Doctorate,"Total, instructional programs",Both sexes,34383
2005/2006,Canada,Full-time student,Doctorate,"Total, instructional programs",Males,18714
2005/2006,Canada,Full-time student,Doctorate,"Total, instructional programs",Females,15669
2005/2006,Canada,Full-time student,Doctorate,Education,Both sexes,2244
2005/2006,Canada,Full-time student,Doctorate,Education,Males,666
2005/2006,Canada,Full-time student,Doctorate,Education,Females,1581
2005/2006,Canada,Full-time student,Doctorate,Visual and performing arts and communications technologies,Both sexes,693
2005/2006,Canada,Full-time student,Doctorate,Visual and performing arts and communications technologies,Males,312
2005/2006,Canada,Full-time student,Doctorate,Visual and performing arts and communications technologies,Females,384
2005/2006,Canada,Full-time student,Doctorate,Humanities,Both sexes,4014
2005/2006,Canada,Full-time student,Doctorate,Humanities,Males,1953
2005/2006,Canada,Full-time student,Doctorate,Humanities,Females,2058
2005/2006,Canada,Full-time student,Doctorate,Social and behavioural sciences and law,Both sexes,6744
2005/2006,Canada,Full-time student,Doctorate,Social and behavioural sciences and law,Males,2718
2005/2006,Canada,Full-time student,Doctorate,Social and behavioural sciences and law,Females,4029
2005/2006,Canada,Full-time student,Doctorate,"Business, management and public administration",Both sexes,1368
2005/2006,Canada,Full-time student,Doctorate,"Business, management and public administration",Males,762
2005/2006,Canada,Full-time student,Doctorate,"Business, management and public administration",Females,606
2005/2006,Canada,Full-time student,Doctorate,Physical and life sciences and technologies,Both sexes,7872
2005/2006,Canada,Full-time student,Doctorate,Physical and life sciences and technologies,Males,4560
2005/2006,Canada,Full-time student,Doctorate,Physical and life sciences and technologies,Females,3309
2005/2006,Canada,Full-time student,Doctorate,"Mathematics, computer and information sciences",Both sexes,2256
2005/2006,Canada,Full-time student,Doctorate,"Mathematics, computer and information sciences",Males,1644
2005/2006,Canada,Full-time student,Doctorate,"Mathematics, computer and information sciences",Females,612
2005/2006,Canada,Full-time student,Doctorate,"Architecture, engineering and related technologies",Both sexes,5619
2005/2006,Canada,Full-time student,Doctorate,"Architecture, engineering and related technologies",Males,4512
2005/2006,Canada,Full-time student,Doctorate,"Architecture, engineering and related technologies",Females,1107
2005/2006,Canada,Full-time student,Doctorate,"Agriculture, natural resources and conservation",Both sexes,1074
2005/2006,Canada,Full-time student,Doctorate,"Agriculture, natural resources and conservation",Males,600
2005/2006,Canada,Full-time student,Doctorate,"Agriculture, natural resources and conservation",Females,477
2005/2006,Canada,Full-time student,Doctorate,"Health, parks, recreation and fitness",Both sexes,2256
2005/2006,Canada,Full-time student,Doctorate,"Health, parks, recreation and fitness",Males,894
2005/2006,Canada,Full-time student,Doctorate,"Health, parks, recreation and fitness",Females,1365
2005/2006,Canada,Full-time student,Doctorate,"Personal, protective and transportation services",Both sexes,39
2005/2006,Canada,Full-time student,Doctorate,"Personal, protective and transportation services",Males,30
2005/2006,Canada,Full-time student,Doctorate,"Personal, protective and transportation services",Females,9
2005/2006,Canada,Full-time student,Doctorate,Other instructional programs,Both sexes,204
2005/2006,Canada,Full-time student,Doctorate,Other instructional programs,Males,69
2005/2006,Canada,Full-time student,Doctorate,Other instructional programs,Females,135
2005/2006,Canada,Full-time student,Other graduate levels,"Total, instructional programs",Both sexes,12801
2005/2006,Canada,Full-time student,Other graduate levels,"Total, instructional programs",Males,6585
2005/2006,Canada,Full-time student,Other graduate levels,"Total, instructional programs",Females,6180
2005/2006,Canada,Full-time student,Other graduate levels,Education,Both sexes,483
2005/2006,Canada,Full-time student,Other graduate levels,Education,Males,147
2005/2006,Canada,Full-time student,Other graduate levels,Education,Females,330
2005/2006,Canada,Full-time student,Other graduate levels,Visual and performing arts and communications technologies,Both sexes,96
2005/2006,Canada,Full-time student,Other graduate levels,Visual and performing arts and communications technologies,Males,30
2005/2006,Canada,Full-time student,Other graduate levels,Visual and performing arts and communications technologies,Females,63
2005/2006,Canada,Full-time student,Other graduate levels,Humanities,Both sexes,189
2005/2006,Canada,Full-time student,Other graduate levels,Humanities,Males,84
2005/2006,Canada,Full-time student,Other graduate levels,Humanities,Females,105
2005/2006,Canada,Full-time student,Other graduate levels,Social and behavioural sciences and law,Both sexes,537
2005/2006,Canada,Full-time student,Other graduate levels,Social and behavioural sciences and law,Males,180
2005/2006,Canada,Full-time student,Other graduate levels,Social and behavioural sciences and law,Females,354
2005/2006,Canada,Full-time student,Other graduate levels,"Business, management and public administration",Both sexes,1161
2005/2006,Canada,Full-time student,Other graduate levels,"Business, management and public administration",Males,582
2005/2006,Canada,Full-time student,Other graduate levels,"Business, management and public administration",Females,576
2005/2006,Canada,Full-time student,Other graduate levels,Physical and life sciences and technologies,Both sexes,171
2005/2006,Canada,Full-time student,Other graduate levels,Physical and life sciences and technologies,Males,87
2005/2006,Canada,Full-time student,Other graduate levels,Physical and life sciences and technologies,Females,84
2005/2006,Canada,Full-time student,Other graduate levels,"Mathematics, computer and information sciences",Both sexes,114
2005/2006,Canada,Full-time student,Other graduate levels,"Mathematics, computer and information sciences",Males,87
2005/2006,Canada,Full-time student,Other graduate levels,"Mathematics, computer and information sciences",Females,27
2005/2006,Canada,Full-time student,Other graduate levels,"Architecture, engineering and related technologies",Both sexes,129
2005/2006,Canada,Full-time student,Other graduate levels,"Architecture, engineering and related technologies",Males,90
2005/2006,Canada,Full-time student,Other graduate levels,"Architecture, engineering and related technologies",Females,39
2005/2006,Canada,Full-time student,Other graduate levels,"Agriculture, natural resources and conservation",Both sexes,84
2005/2006,Canada,Full-time student,Other graduate levels,"Agriculture, natural resources and conservation",Males,48
2005/2006,Canada,Full-time student,Other graduate levels,"Agriculture, natural resources and conservation",Females,36
2005/2006,Canada,Full-time student,Other graduate levels,"Health, parks, recreation and fitness",Both sexes,9681
2005/2006,Canada,Full-time student,Other graduate levels,"Health, parks, recreation and fitness",Males,5175
2005/2006,Canada,Full-time student,Other graduate levels,"Health, parks, recreation and fitness",Females,4470
2005/2006,Canada,Full-time student,Other graduate levels,Other instructional programs,Both sexes,159
2005/2006,Canada,Full-time student,Other graduate levels,Other instructional programs,Males,72
2005/2006,Canada,Full-time student,Other graduate levels,Other instructional programs,Females,90
2005/2006,Canada,Full-time student,Other program levels,"Total, instructional programs",Both sexes,20196
2005/2006,Canada,Full-time student,Other program levels,"Total, instructional programs",Males,9087
2005/2006,Canada,Full-time student,Other program levels,"Total, instructional programs",Females,11082
2005/2006,Canada,Full-time student,Other program levels,Personal improvement and leisure,Both sexes,42
2005/2006,Canada,Full-time student,Other program levels,Personal improvement and leisure,Males,15
2005/2006,Canada,Full-time student,Other program levels,Personal improvement and leisure,Females,27
2005/2006,Canada,Full-time student,Other program levels,Education,Both sexes,45
2005/2006,Canada,Full-time student,Other program levels,Education,Males,24
2005/2006,Canada,Full-time student,Other program levels,Education,Females,24
2005/2006,Canada,Full-time student,Other program levels,Visual and performing arts and communications technologies,Both sexes,63
2005/2006,Canada,Full-time student,Other program levels,Visual and performing arts and communications technologies,Males,30
2005/2006,Canada,Full-time student,Other program levels,Visual and performing arts and communications technologies,Females,30
2005/2006,Canada,Full-time student,Other program levels,Humanities,Both sexes,705
2005/2006,Canada,Full-time student,Other program levels,Humanities,Males,312
2005/2006,Canada,Full-time student,Other program levels,Humanities,Females,396
2005/2006,Canada,Full-time student,Other program levels,Social and behavioural sciences and law,Both sexes,318
2005/2006,Canada,Full-time student,Other program levels,Social and behavioural sciences and law,Males,138
2005/2006,Canada,Full-time student,Other program levels,Social and behavioural sciences and law,Females,183
2005/2006,Canada,Full-time student,Other program levels,"Business, management and public administration",Both sexes,453
2005/2006,Canada,Full-time student,Other program levels,"Business, management and public administration",Males,249
2005/2006,Canada,Full-time student,Other program levels,"Business, management and public administration",Females,201
2005/2006,Canada,Full-time student,Other program levels,Physical and life sciences and technologies,Both sexes,333
2005/2006,Canada,Full-time student,Other program levels,Physical and life sciences and technologies,Males,165
2005/2006,Canada,Full-time student,Other program levels,Physical and life sciences and technologies,Females,168
2005/2006,Canada,Full-time student,Other program levels,"Mathematics, computer and information sciences",Both sexes,69
2005/2006,Canada,Full-time student,Other program levels,"Mathematics, computer and information sciences",Males,54
2005/2006,Canada,Full-time student,Other program levels,"Mathematics, computer and information sciences",Females,15
2005/2006,Canada,Full-time student,Other program levels,"Architecture, engineering and related technologies",Both sexes,258
2005/2006,Canada,Full-time student,Other program levels,"Architecture, engineering and related technologies",Males,192
2005/2006,Canada,Full-time student,Other program levels,"Architecture, engineering and related technologies",Females,66
2005/2006,Canada,Full-time student,Other program levels,"Agriculture, natural resources and conservation",Both sexes,12
2005/2006,Canada,Full-time student,Other program levels,"Agriculture, natural resources and conservation",Males,3
2005/2006,Canada,Full-time student,Other program levels,"Agriculture, natural resources and conservation",Females,9
2005/2006,Canada,Full-time student,Other program levels,"Health, parks, recreation and fitness",Both sexes,252
2005/2006,Canada,Full-time student,Other program levels,"Health, parks, recreation and fitness",Males,72
2005/2006,Canada,Full-time student,Other program levels,"Health, parks, recreation and fitness",Females,180
2005/2006,Canada,Full-time student,Other program levels,"Personal, protective and transportation services",Both sexes,9
2005/2006,Canada,Full-time student,Other program levels,"Personal, protective and transportation services",Males,3
2005/2006,Canada,Full-time student,Other program levels,"Personal, protective and transportation services",Females,3
2005/2006,Canada,Full-time student,Other program levels,Other instructional programs,Both sexes,17640
2005/2006,Canada,Full-time student,Other program levels,Other instructional programs,Males,7830
2005/2006,Canada,Full-time student,Other program levels,Other instructional programs,Females,9780
2005/2006,Canada,Part-time student,"Total, program level","Total, instructional programs",Both sexes,269658
2005/2006,Canada,Part-time student,"Total, program level","Total, instructional programs",Males,104715
2005/2006,Canada,Part-time student,"Total, program level","Total, instructional programs",Females,164700
2005/2006,Canada,Part-time student,"Total, program level",Personal improvement and leisure,Both sexes,210
2005/2006,Canada,Part-time student,"Total, program level",Personal improvement and leisure,Males,66
2005/2006,Canada,Part-time student,"Total, program level",Personal improvement and leisure,Females,141
2005/2006,Canada,Part-time student,"Total, program level",Education,Both sexes,26946
2005/2006,Canada,Part-time student,"Total, program level",Education,Males,7026
2005/2006,Canada,Part-time student,"Total, program level",Education,Females,19896
2005/2006,Canada,Part-time student,"Total, program level",Visual and performing arts and communications technologies,Both sexes,6570
2005/2006,Canada,Part-time student,"Total, program level",Visual and performing arts and communications technologies,Males,2202
2005/2006,Canada,Part-time student,"Total, program level",Visual and performing arts and communications technologies,Females,4365
2005/2006,Canada,Part-time student,"Total, program level",Humanities,Both sexes,37605
2005/2006,Canada,Part-time student,"Total, program level",Humanities,Males,14484
2005/2006,Canada,Part-time student,"Total, program level",Humanities,Females,23100
2005/2006,Canada,Part-time student,"Total, program level",Social and behavioural sciences and law,Both sexes,35838
2005/2006,Canada,Part-time student,"Total, program level",Social and behavioural sciences and law,Males,12843
2005/2006,Canada,Part-time student,"Total, program level",Social and behavioural sciences and law,Females,22992
2005/2006,Canada,Part-time student,"Total, program level","Business, management and public administration",Both sexes,56838
2005/2006,Canada,Part-time student,"Total, program level","Business, management and public administration",Males,23562
2005/2006,Canada,Part-time student,"Total, program level","Business, management and public administration",Females,33258
2005/2006,Canada,Part-time student,"Total, program level",Physical and life sciences and technologies,Both sexes,8292
2005/2006,Canada,Part-time student,"Total, program level",Physical and life sciences and technologies,Males,4167
2005/2006,Canada,Part-time student,"Total, program level",Physical and life sciences and technologies,Females,4125
2005/2006,Canada,Part-time student,"Total, program level","Mathematics, computer and information sciences",Both sexes,8040
2005/2006,Canada,Part-time student,"Total, program level","Mathematics, computer and information sciences",Males,5949
2005/2006,Canada,Part-time student,"Total, program level","Mathematics, computer and information sciences",Females,2088
2005/2006,Canada,Part-time student,"Total, program level","Architecture, engineering and related technologies",Both sexes,11334
2005/2006,Canada,Part-time student,"Total, program level","Architecture, engineering and related technologies",Males,9165
2005/2006,Canada,Part-time student,"Total, program level","Architecture, engineering and related technologies",Females,2172
2005/2006,Canada,Part-time student,"Total, program level","Agriculture, natural resources and conservation",Both sexes,2331
2005/2006,Canada,Part-time student,"Total, program level","Agriculture, natural resources and conservation",Males,1077
2005/2006,Canada,Part-time student,"Total, program level","Agriculture, natural resources and conservation",Females,1251
2005/2006,Canada,Part-time student,"Total, program level","Health, parks, recreation and fitness",Both sexes,19809
2005/2006,Canada,Part-time student,"Total, program level","Health, parks, recreation and fitness",Males,3210
2005/2006,Canada,Part-time student,"Total, program level","Health, parks, recreation and fitness",Females,16593
2005/2006,Canada,Part-time student,"Total, program level","Personal, protective and transportation services",Both sexes,759
2005/2006,Canada,Part-time student,"Total, program level","Personal, protective and transportation services",Males,555
2005/2006,Canada,Part-time student,"Total, program level","Personal, protective and transportation services",Females,204
2005/2006,Canada,Part-time student,"Total, program level",Other instructional programs,Both sexes,55086
2005/2006,Canada,Part-time student,"Total, program level",Other instructional programs,Males,20412
2005/2006,Canada,Part-time student,"Total, program level",Other instructional programs,Females,34512
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Total, instructional programs",Both sexes,342
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Total, instructional programs",Males,156
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Total, instructional programs",Females,180
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Personal improvement and leisure,Both sexes,57
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Personal improvement and leisure,Males,21
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Personal improvement and leisure,Females,36
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Education,Both sexes,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Education,Females,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Humanities,Both sexes,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Humanities,Males,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Humanities,Females,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Business, management and public administration",Both sexes,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Business, management and public administration",Males,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Business, management and public administration",Females,0
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Architecture, engineering and related technologies",Both sexes,54
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Architecture, engineering and related technologies",Males,42
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Architecture, engineering and related technologies",Females,12
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Health, parks, recreation and fitness",Both sexes,3
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Health, parks, recreation and fitness",Females,3
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Personal, protective and transportation services",Both sexes,18
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Personal, protective and transportation services",Males,12
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,"Personal, protective and transportation services",Females,6
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Other instructional programs,Both sexes,207
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Other instructional programs,Males,81
2005/2006,Canada,Part-time student,Trade/vocational and preparatory training certificate or diploma,Other instructional programs,Females,126
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Total, instructional programs",Both sexes,2070
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Total, instructional programs",Males,654
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Total, instructional programs",Females,1401
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Education,Both sexes,39
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Education,Males,12
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Education,Females,27
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Visual and performing arts and communications technologies,Both sexes,141
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Visual and performing arts and communications technologies,Males,60
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Visual and performing arts and communications technologies,Females,78
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Humanities,Both sexes,138
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Humanities,Males,42
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Humanities,Females,90
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Both sexes,12
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Males,0
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Social and behavioural sciences and law,Females,12
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Business, management and public administration",Both sexes,618
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Business, management and public administration",Males,180
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Business, management and public administration",Females,429
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Physical and life sciences and technologies,Both sexes,117
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Physical and life sciences and technologies,Males,75
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Physical and life sciences and technologies,Females,39
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Mathematics, computer and information sciences",Both sexes,90
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Mathematics, computer and information sciences",Males,48
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Mathematics, computer and information sciences",Females,42
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Architecture, engineering and related technologies",Both sexes,30
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Architecture, engineering and related technologies",Males,27
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Architecture, engineering and related technologies",Females,3
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Both sexes,138
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Males,66
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Agriculture, natural resources and conservation",Females,72
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Both sexes,591
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Males,105
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,"Health, parks, recreation and fitness",Females,486
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Other instructional programs,Both sexes,162
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Other instructional programs,Males,39
2005/2006,Canada,Part-time student,Community college certificate or diploma and other community college level,Other instructional programs,Females,123
2005/2006,Canada,Part-time student,Undergraduate level,"Total, instructional programs",Both sexes,157986
2005/2006,Canada,Part-time student,Undergraduate level,"Total, instructional programs",Males,61008
2005/2006,Canada,Part-time student,Undergraduate level,"Total, instructional programs",Females,96924
2005/2006,Canada,Part-time student,Undergraduate level,Personal improvement and leisure,Both sexes,6
2005/2006,Canada,Part-time student,Undergraduate level,Personal improvement and leisure,Males,0
2005/2006,Canada,Part-time student,Undergraduate level,Personal improvement and leisure,Females,3
2005/2006,Canada,Part-time student,Undergraduate level,Education,Both sexes,12483
2005/2006,Canada,Part-time student,Undergraduate level,Education,Males,3093
2005/2006,Canada,Part-time student,Undergraduate level,Education,Females,9372
2005/2006,Canada,Part-time student,Undergraduate level,Visual and performing arts and communications technologies,Both sexes,5607
2005/2006,Canada,Part-time student,Undergraduate level,Visual and performing arts and communications technologies,Males,1872
2005/2006,Canada,Part-time student,Undergraduate level,Visual and performing arts and communications technologies,Females,3735
2005/2006,Canada,Part-time student,Undergraduate level,Humanities,Both sexes,33030
2005/2006,Canada,Part-time student,Undergraduate level,Humanities,Males,12639
2005/2006,Canada,Part-time student,Undergraduate level,Humanities,Females,20373
2005/2006,Canada,Part-time student,Undergraduate level,Social and behavioural sciences and law,Both sexes,26688
2005/2006,Canada,Part-time student,Undergraduate level,Social and behavioural sciences and law,Males,9510
2005/2006,Canada,Part-time student,Undergraduate level,Social and behavioural sciences and law,Females,17175
2005/2006,Canada,Part-time student,Undergraduate level,"Business, management and public administration",Both sexes,40047
2005/2006,Canada,Part-time student,Undergraduate level,"Business, management and public administration",Males,15081
2005/2006,Canada,Part-time student,Undergraduate level,"Business, management and public administration",Females,24951
2005/2006,Canada,Part-time student,Undergraduate level,Physical and life sciences and technologies,Both sexes,6672
2005/2006,Canada,Part-time student,Undergraduate level,Physical and life sciences and technologies,Males,3276
2005/2006,Canada,Part-time student,Undergraduate level,Physical and life sciences and technologies,Females,3396
2005/2006,Canada,Part-time student,Undergraduate level,"Mathematics, computer and information sciences",Both sexes,6255
2005/2006,Canada,Part-time student,Undergraduate level,"Mathematics, computer and information sciences",Males,4791
2005/2006,Canada,Part-time student,Undergraduate level,"Mathematics, computer and information sciences",Females,1461
2005/2006,Canada,Part-time student,Undergraduate level,"Architecture, engineering and related technologies",Both sexes,7881
2005/2006,Canada,Part-time student,Undergraduate level,"Architecture, engineering and related technologies",Males,6501
2005/2006,Canada,Part-time student,Undergraduate level,"Architecture, engineering and related technologies",Females,1380
2005/2006,Canada,Part-time student,Undergraduate level,"Agriculture, natural resources and conservation",Both sexes,1548
2005/2006,Canada,Part-time student,Undergraduate level,"Agriculture, natural resources and conservation",Males,699
2005/2006,Canada,Part-time student,Undergraduate level,"Agriculture, natural resources and conservation",Females,849
2005/2006,Canada,Part-time student,Undergraduate level,"Health, parks, recreation and fitness",Both sexes,14235
2005/2006,Canada,Part-time student,Undergraduate level,"Health, parks, recreation and fitness",Males,2145
2005/2006,Canada,Part-time student,Undergraduate level,"Health, parks, recreation and fitness",Females,12087
2005/2006,Canada,Part-time student,Undergraduate level,"Personal, protective and transportation services",Both sexes,492
2005/2006,Canada,Part-time student,Undergraduate level,"Personal, protective and transportation services",Males,330
2005/2006,Canada,Part-time student,Undergraduate level,"Personal, protective and transportation services",Females,162
2005/2006,Canada,Part-time student,Undergraduate level,Other instructional programs,Both sexes,3042
2005/2006,Canada,Part-time student,Undergraduate level,Other instructional programs,Males,1065
2005/2006,Canada,Part-time student,Undergraduate level,Other instructional programs,Females,1974
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Total, instructional programs",Both sexes,115350
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Total, instructional programs",Males,46974
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,"Total, instructional programs",Females,68334
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Personal improvement and leisure,Both sexes,24
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Personal improvement and leisure,Males,12
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Personal improvement and leisure,Females,15
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Education,Both sexes,7317
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Education,Males,1905
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Education,Females,5400
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Both sexes,4764
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Males,1674
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Visual and performing arts and communications technologies,Females,3090
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Humanities,Both sexes,28002
2005/2006,Canada,Part-time student,Bachelor's and other undergraduate degree,Humanities,Males,11190
